Day,High Temperature,Low Temperature,Weather,Wind Direction,Wind Speed,Air Quality,Air Quality Info,Air Quality Level
2018-01-01,3℃,-6℃,Sunny~Cloudy,Northeast Wind,1-2,59,Good,2
2018-01-02,2℃,-5℃,Overcast~Cloudy,Northeast Wind,1-2,49,Excellent,1
2018-01-03,2℃,-5℃,Cloudy,North Wind,1-2,28,Excellent,1
2018-01-04,0℃,-8℃,Overcast,Northeast Wind,1-2,28,Excellent,1
2018-01-05,3℃,-6℃,Cloudy~Sunny,Northwest Wind,1-2,50,Excellent,1
2018-01-06,2℃,-5℃,Cloudy~Overcast,Southwest Wind,1-2,32,Excellent,1
2018-01-07,2℃,-4℃,Overcast~Cloudy,Southwest Wind,1-2,59,Good,2
2018-01-08,2℃,-6℃,Sunny,Northwest Wind,4-5,50,Excellent,1
2018-01-09,1℃,-8℃,Sunny,Northwest Wind,3-4,34,Excellent,1
2018-01-10,-2℃,-10℃,Sunny,Northwest Wind,1-2,26,Excellent,1
2018-01-11,-1℃,-10℃,Sunny,North Wind,1-2,24,Excellent,1
2018-01-12,2℃,-8℃,Sunny,Southwest Wind,1-2,75,Good,2
2018-01-13,3℃,-7℃,Cloudy,South Wind,1-2,126,Light Pollution,3
2018-01-14,6℃,-5℃,Sunny~Cloudy,Northwest Wind,1-2,187,Moderate Pollution,4
2018-01-15,2℃,-5℃,Overcast,Southeast Wind,1-2,47,Excellent,1
2018-01-16,4℃,-5℃,Cloudy,South Wind,1-2,112,Light Pollution,3
2018-01-17,6℃,-7℃,Cloudy~Sunny,Northwest Wind,1-2,82,Good,2
2018-01-18,5℃,-6℃,Sunny,Southwest Wind,1-2,80,Good,2
2018-01-19,7℃,-4℃,Sunny,South Wind,1-2,115,Light Pollution,3
2018-01-20,3℃,-6℃,Sunny~Cloudy,East Wind,1-2,64,Good,2
2018-01-21,0℃,-5℃,Overcast~Light snow,Northeast Wind,1-2,63,Good,2
2018-01-22,-3℃,-10℃,Light snow~Cloudy,East Wind,1-2,47,Excellent,1
2018-01-23,-4℃,-12℃,Sunny,Northwest Wind,3-4,31,Excellent,1
2018-01-24,-4℃,-11℃,Sunny,Southwest Wind,1-2,34,Excellent,1
2018-01-25,-3℃,-11℃,Cloudy,Northeast Wind,1-2,27,Excellent,1
2018-01-26,-3℃,-10℃,Sunny~Cloudy,South Wind,1-2,39,Excellent,1
2018-01-27,-1℃,-9℃,Cloudy,South Wind,1-2,105,Light Pollution,3
2018-01-28,-1℃,-9℃,Sunny,Northwest Wind,3-4,55,Good,2
2018-01-29,1℃,-8℃,Sunny,Northwest Wind,1-2,57,Good,2
2018-01-30,4℃,-7℃,Sunny,Northwest Wind,1-2,36,Excellent,1
2018-01-31,3℃,-8℃,Sunny,Southwest Wind,1-2,60,Good,2
2018-02-01,4℃,-7℃,Cloudy,North Wind,1-2,68,Good,2
2018-02-02,-1℃,-9℃,Sunny,North Wind,3-4,32,Excellent,1
2018-02-03,0℃,-9℃,Cloudy,North Wind,1-2,24,Excellent,1
2018-02-04,1℃,-8℃,Sunny,Southwest Wind,1-2,36,Excellent,1
2018-02-05,0℃,-10℃,Sunny,North Wind,3-4,24,Excellent,1
2018-02-06,3℃,-7℃,Cloudy~Overcast,Southwest Wind,1-2,56,Good,2
2018-02-07,2℃,-10℃,Cloudy~Sunny,North Wind,4-5,63,Good,2
2018-02-08,3℃,-7℃,Cloudy,South Wind,3-4,67,Good,2
2018-02-09,4℃,-9℃,Cloudy,Northwest Wind,4-5,93,Good,2
2018-02-10,1℃,-9℃,Sunny,Northwest Wind,3-4,39,Excellent,1
2018-02-11,0℃,-9℃,Sunny,Northwest Wind,4-5,62,Good,2
2018-02-12,5℃,-7℃,Sunny,Northwest Wind,1-2,53,Good,2
2018-02-13,8℃,-4℃,Sunny~Cloudy,West Wind,1-2,78,Good,2
2018-02-14,6℃,-6℃,Cloudy,North Wind,1-2,42,Excellent,1
2018-02-15,5℃,-5℃,Cloudy,Southwest Wind,1-2,48,Excellent,1
2018-02-16,8℃,-5℃,Sunny~Cloudy,Southwest Wind,1-2,118,Light Pollution,3
2018-02-17,5℃,-4℃,Cloudy~Overcast,South Wind,1-2,103,Light Pollution,3
