Day,High Temperature,Low Temperature,Weather,Wind Direction,Wind Speed,Air Quality,Air Quality Info,Air Quality Level
2017-01-01,5℃,-3℃,Haze~Sunny,South Wind,1-2,450,Severe Pollution,6
2017-01-02,7℃,-6℃,Sunny~Haze,South Wind,1-2,246,Heavy Pollution,5
2017-01-03,5℃,-5℃,Haze,South Wind,1-2,320,Severe Pollution,6
2017-01-04,6℃,-5℃,Haze,North Wind,1-2,360,Severe Pollution,6
2017-01-05,2℃,-4℃,Haze,North Wind,1-2,280,Heavy Pollution,5
2017-01-06,4℃,-2℃,Haze,South Wind,1-2,234,Heavy Pollution,5
2017-01-07,2℃,-3℃,Light snow,No Wind,0,206,Heavy Pollution,5
2017-01-08,5℃,-4℃,Overcast~Sunny,North Wind,1-2,59,Good,2
2017-01-09,3℃,-5℃,Sunny,South Wind,1-2,42,Excellent,1
2017-01-10,4℃,-6℃,Sunny,North Wind,3-4,46,Excellent,1
2017-01-11,5℃,-5℃,Sunny,South Wind,1-2,82,Good,2
2017-01-12,5℃,-4℃,Sunny,South Wind,1-2,61,Good,2
2017-01-13,3℃,-6℃,Sunny,North Wind,3-4,26,Excellent,1
2017-01-14,3℃,-7℃,Sunny,Southeast Wind,1-2,35,Excellent,1
2017-01-15,1℃,-6℃,Haze,South Wind,1-2,71,Good,2
2017-01-16,1℃,-5℃,Haze,South Wind,1-2,123,Light Pollution,3
2017-01-17,4℃,-5℃,Haze~Sunny,North Wind,1-2,175,Moderate Pollution,4
2017-01-18,2℃,-4℃,Cloudy~Light snow,South Wind,1-2,59,Good,2
2017-01-19,1℃,-8℃,Sunny,North Wind,5-6,86,Good,2
2017-01-20,1℃,-8℃,Sunny~Cloudy,Southwest Wind,1-2,35,Excellent,1
2017-01-21,0℃,-8℃,Sunny,Northeast Wind,4-5,55,Good,2
2017-01-22,0℃,-10℃,Sunny,South Wind,1-2,37,Excellent,1
2017-01-23,1℃,-8℃,Cloudy~Sunny,Southwest Wind,1-2,46,Excellent,1
2017-01-24,4℃,-7℃,Cloudy,South Wind,1-2,112,Light Pollution,3
2017-01-25,5℃,-4℃,Sunny~Overcast,Southwest Wind,1-2,215,Heavy Pollution,5
2017-01-26,8℃,-6℃,Cloudy~Sunny,North Wind,4-5,216,Heavy Pollution,5
2017-01-27,5℃,-5℃,Sunny~Cloudy,Southwest Wind,3-4,69,Good,2
2017-01-28,4℃,-4℃,Cloudy,South Wind,1-2,354,Severe Pollution,6
2017-01-29,1℃,-8℃,Cloudy~Sunny,North Wind,4-5,89,Good,2
2017-01-30,1℃,-5℃,Cloudy,South Wind,1-2,38,Excellent,1
2017-01-31,5℃,-4℃,Sunny,South Wind,1-2,107,Light Pollution,3
2017-02-01,4℃,-7℃,Sunny,North Wind,3-4,45,Excellent,1
2017-02-02,5℃,-5℃,Sunny,South Wind,1-2,109,Light Pollution,3
2017-02-03,6℃,-3℃,Sunny~Cloudy,No Wind,0,188,Moderate Pollution,4
2017-02-04,9℃,-2℃,Sunny,North Wind,1-2,303,Severe Pollution,6
2017-02-05,8℃,-4℃,Sunny,North Wind,1-2,28,Excellent,1
2017-02-06,4℃,-5℃,Cloudy~Overcast,South Wind,1-2,29,Excellent,1
2017-02-07,1℃,-4℃,Light snow~Overcast,South Wind,1-2,99,Good,2
2017-02-08,4℃,-7℃,Cloudy~Sunny,North Wind,4-5,64,Good,2
2017-02-09,3℃,-5℃,Sunny,North Wind,4-5,28,Excellent,1
2017-02-10,4℃,-6℃,Sunny,North Wind,4-5,30,Excellent,1
2017-02-11,7℃,-5℃,Sunny,South Wind,1-2,54,Good,2
2017-02-12,9℃,-3℃,Sunny,South Wind,1-2,138,Light Pollution,3
2017-02-13,10℃,-4℃,Sunny,South Wind,1-2,112,Light Pollution,3
2017-02-14,8℃,-3℃,Sunny,South Wind,1-2,221,Heavy Pollution,5
2017-02-15,8℃,1℃,Cloudy~Overcast,South Wind,1-2,282,Heavy Pollution,5
2017-02-16,7℃,-4℃,Cloudy,North Wind,4-5,154,Moderate Pollution,4
2017-02-17,5℃,-4℃,Sunny,South Wind,1-2,38,Excellent,1
2017-02-18,8℃,-1℃,Cloudy~Overcast,South Wind,1-2,109,Light Pollution,3
2017-02-19,15℃,-2℃,Cloudy~Sunny,North Wind,4-5,155,Moderate Pollution,4
2017-02-20,6℃,-2℃,Cloudy~Overcast,North Wind,3-4,33,Excellent,1
2017-02-21,1℃,-3℃,Light snow,South Wind,1-2,82,Good,2
2017-02-22,9℃,-3℃,Overcast~Sunny,North Wind,3-4,109,Light Pollution,3
2017-02-23,7℃,-4℃,Sunny,South Wind,1-2,32,Excellent,1
2017-02-24,12℃,-2℃,Sunny,North Wind,1-2,45,Excellent,1
2017-02-25,12℃,-1℃,Cloudy,No Wind,0,29,Excellent,1
2017-02-26,13℃,-2℃,Sunny,No Wind,0,44,Excellent,1
2017-02-27,14℃,2℃,Sunny,South Wind,1-2,90,Good,2
2017-02-28,15℃,2℃,Cloudy~Overcast,North Wind,1-2,37,Excellent,1
2017-03-01,8℃,-3℃,Sunny,North Wind,4-5,39,Excellent,1
2017-03-02,13℃,-2℃,Sunny,South Wind,3-4,59,Good,2
2017-03-03,13℃,-2℃,Sunny,No Wind,0,114,Light Pollution,3
2017-03-04,13℃,0℃,Cloudy,South Wind,1-2,109,Light Pollution,3
2017-03-05,11℃,-2℃,Sunny,North Wind,4-5,46,Excellent,1
2017-03-06,9℃,-3℃,Cloudy~Sunny,North Wind,4-5,42,Excellent,1
2017-03-07,9℃,-1℃,Sunny,North Wind,3-4,29,Excellent,1
2017-03-08,13℃,2℃,Sunny,North Wind,3-4,33,Excellent,1
2017-03-09,15℃,2℃,Sunny,South Wind,1-2,35,Excellent,1
2017-03-10,16℃,4℃,Cloudy~Overcast,South Wind,1-2,53,Good,2
2017-03-11,20℃,4℃,Overcast~Sunny,South Wind,1-2,78,Good,2
2017-03-12,13℃,1℃,Sunny,North Wind,4-5,34,Excellent,1
2017-03-13,14℃,2℃,Sunny,South Wind,1-2,32,Excellent,1
2017-03-14,15℃,3℃,Sunny~Cloudy,South Wind,1-2,40,Excellent,1
2017-03-15,16℃,3℃,Cloudy~Sunny,South Wind,1-2,86,Good,2
2017-03-16,17℃,6℃,Cloudy,South Wind,1-2,151,Moderate Pollution,4
2017-03-17,17℃,5℃,Overcast~Cloudy,South Wind,1-2,156,Moderate Pollution,4
2017-03-18,20℃,5℃,Sunny,North Wind,1-2,183,Moderate Pollution,4
2017-03-19,19℃,7℃,Cloudy~Overcast,Southeast Wind,1-2,273,Heavy Pollution,5
2017-03-20,12℃,6℃,Light rain~overcast,East Wind,1-2,192,Moderate Pollution,4
2017-03-21,15℃,4℃,Cloudy,South Wind,1-2,110,Light Pollution,3
2017-03-22,15℃,7℃,Overcast~Light rain,East Wind,1-2,172,Moderate Pollution,4
2017-03-23,8℃,2℃,Light rain,East Wind,1-2,167,Moderate Pollution,4
2017-03-24,6℃,0℃,Rain snow mixture~Overcast,South Wind,1-2,85,Good,2
2017-03-25,13℃,4℃,Cloudy,South Wind,1-2,55,Good,2
2017-03-26,15℃,4℃,Cloudy~Sunny,North Wind,3-4,31,Excellent,1
2017-03-27,15℃,5℃,Sunny~Cloudy,South Wind,1-2,34,Excellent,1
2017-03-28,16℃,4℃,Cloudy~Sunny,South Wind,1-2,80,Good,2
2017-03-29,20℃,7℃,Sunny~Cloudy,Southwest Wind,1-2,146,Light Pollution,3
2017-03-30,15℃,5℃,Cloudy,South Wind,1-2,123,Light Pollution,3
2017-03-31,17℃,5℃,Sunny,Southwest Wind,1-2,44,Excellent,1
2017-04-01,22℃,5℃,Cloudy,South Wind,1-2,60,Good,2
2017-04-02,23℃,6℃,Cloudy~Sunny,No Wind,0,92,Good,2
2017-04-03,25℃,12℃,Cloudy~Overcast,South Wind,1-2,158,Moderate Pollution,4
2017-04-04,20℃,12℃,Overcast~Light rain,South Wind,3-4,176,Moderate Pollution,4
2017-04-05,19℃,9℃,Overcast~Cloudy,South Wind,1-2,83,Good,2
2017-04-06,25℃,10℃,Cloudy~Overcast,South Wind,1-2,124,Light Pollution,3
2017-04-07,20℃,14℃,Overcast,South Wind,1-2,106,Light Pollution,3
2017-04-08,18℃,7℃,Overcast~Sunny,South Wind,3-4,118,Light Pollution,3
2017-04-09,19℃,8℃,Cloudy,Southeast Wind,1-2,93,Good,2
2017-04-10,19℃,10℃,Cloudy,South Wind,3-4,91,Good,2
2017-04-11,22℃,7℃,Sunny,North Wind,3-4,64,Good,2
2017-04-12,25℃,9℃,Sunny~Cloudy,South Wind,1-2,66,Good,2
2017-04-13,21℃,8℃,Overcast,South Wind,1-2,93,Good,2
2017-04-14,26℃,11℃,Cloudy,South Wind,1-2,97,Good,2
2017-04-15,29℃,14℃,Sunny~Cloudy,South Wind,1-2,70,Good,2
2017-04-16,27℃,14℃,Overcast,South Wind,3-4,130,Light Pollution,3
2017-04-17,27℃,12℃,Cloudy,North Wind,3-4,191,Moderate Pollution,4
2017-04-18,23℃,11℃,Sunny~Overcast,North Wind,4-5,63,Good,2
2017-04-19,20℃,11℃,Overcast~Cloudy,Northwest Wind,1-2,81,Good,2
2017-04-20,22℃,11℃,Cloudy,North Wind,1-2,75,Good,2
2017-04-21,22℃,9℃,Cloudy~Sunny,South Wind,1-2,52,Good,2
2017-04-22,27℃,13℃,Cloudy,South Wind,3-4,83,Good,2
2017-04-23,24℃,11℃,Cloudy,South Wind,1-2,60,Good,2
2017-04-24,23℃,11℃,Cloudy,North Wind,3-4,69,Good,2
2017-04-25,19℃,8℃,Cloudy~Sunny,South Wind,1-2,36,Excellent,1
2017-04-26,24℃,11℃,Sunny,North Wind,3-4,41,Excellent,1
2017-04-27,28℃,13℃,Sunny,North Wind,4-5,45,Excellent,1
2017-04-28,30℃,14℃,Sunny,North Wind,3-4,56,Good,2
2017-04-29,33℃,17℃,Cloudy,South Wind,3-4,76,Good,2
2017-04-30,29℃,13℃,Sunny~Cloudy,South Wind,1-2,108,Light Pollution,3
2017-05-01,26℃,14℃,Cloudy,South Wind,1-2,87,Good,2
2017-05-02,29℃,17℃,Cloudy,South Wind,3-4,94,Good,2
2017-05-03,28℃,16℃,Overcast,South Wind,3-4,108,Light Pollution,3
2017-05-04,27℃,14℃,Cloudy~Sunny,North Wind,3-4,396,Severe Pollution,6
2017-05-05,21℃,11℃,Sand dust~Sunny,North Wind,4-5,273,Heavy Pollution,5
2017-05-06,29℃,12℃,Sunny,North Wind,3-4,72,Good,2
2017-05-07,30℃,15℃,Sunny~Cloudy,South Wind,3-4,62,Good,2
2017-05-08,31℃,16℃,Cloudy,South Wind,3-4,86,Good,2
2017-05-09,29℃,15℃,Sunny~Shower,South Wind,3-4,82,Good,2
2017-05-10,29℃,15℃,Sunny,South Wind,3-4,63,Good,2
2017-05-11,31℃,13℃,Sunny~Cloudy,North Wind,5-6,90,Good,2
2017-05-12,29℃,15℃,Sunny~Cloudy,Southwest Wind,3-4,111,Light Pollution,3
2017-05-13,28℃,15℃,Cloudy,Northwest Wind,4-5,59,Good,2
2017-05-14,27℃,14℃,Cloudy,North Wind,3-4,41,Excellent,1
2017-05-15,28℃,15℃,Cloudy,South Wind,1-2,49,Excellent,1
2017-05-16,32℃,17℃,Cloudy~Sunny,South Wind,3-4,76,Good,2
2017-05-17,34℃,19℃,Sunny,South Wind,1-2,102,Light Pollution,3
2017-05-18,35℃,21℃,Sunny,South Wind,3-4,123,Light Pollution,3
2017-05-19,36℃,22℃,Sunny,Southwest Wind,3-4,129,Light Pollution,3
2017-05-20,34℃,20℃,Sunny~Cloudy,South Wind,3-4,102,Light Pollution,3
2017-05-21,31℃,18℃,Overcast~Shower,South Wind,3-4,86,Good,2
2017-05-22,21℃,16℃,Light rain~Overcast,North Wind,3-4,57,Good,2
2017-05-23,28℃,14℃,Sunny,South Wind,1-2,40,Excellent,1
2017-05-24,33℃,17℃,Cloudy~Sunny,Southwest Wind,3-4,50,Excellent,1
2017-05-25,30℃,16℃,Sunny,South Wind,3-4,66,Good,2
2017-05-26,31℃,17℃,Sunny,South Wind,1-2,80,Good,2
2017-05-27,34℃,21℃,Sunny,South Wind,1-2,98,Good,2
2017-05-28,36℃,22℃,Cloudy~Overcast,North Wind,3-4,136,Light Pollution,3
2017-05-29,27℃,18℃,Overcast~Shower,East Wind,1-2,70,Good,2
2017-05-30,26℃,16℃,Shower~Sunny,South Wind,3-4,65,Good,2
